image_filename,kl_manual,logit_yes_manual,logit_no_manual,kl_csv,correct
1209_left.jpg,27.60328178,19.625,15.625,22.99995699,1
1209_right.jpg,27.00550423,23.25,12.25,22.40304396,1
1215_left.jpg,27.60373104,23,11.4375,22.99882832,1
1215_right.jpg,27.62698862,19.875,13.8125,23.02206089,1
1217_right.jpg,27.62578204,21.75,13.375,23.02061225,1
1218_right.jpg,27.14721768,23.375,12.4375,22.54211478,1
1220_left.jpg,27.59479759,24.125,13.4375,22.99063491,1
1220_right.jpg,26.99753182,23.875,13.0625,22.40822733,1
1222_left.jpg,27.61372354,16.25,20.625,23.00862113,0
1222_right.jpg,26.7742228,14.0625,20.875,22.16906479,0
1229_left.jpg,26.43294469,12.9375,22.5,21.82804204,1
1229_right.jpg,26.96166986,22.75,11.9375,22.35787007,1
1231_left.jpg,27.61649412,20.625,18.375,23.01185716,1
1231_right.jpg,26.68611038,12.1875,20.5,22.11154955,0
1232_left.jpg,27.14981087,23.375,12.8125,22.54474615,1
1239_left.jpg,27.43291144,24.5,12.1875,22.83110334,1
1239_right.jpg,27.043786,23.75,10.9375,22.43869786,1
1246_left.jpg,27.02740353,24.25,12.8125,22.42248465,1
1246_right.jpg,27.56585991,22.875,12.5,22.96072414,1
1247_left.jpg,27.15377984,23.375,12.3125,22.5559241,1
1247_right.jpg,27.27233106,18.875,15,22.77417198,1
1248_left.jpg,26.89737456,24.125,12.0625,22.29316034,1
1248_right.jpg,27.61406023,22.875,13.75,23.00961869,1
1258_left.jpg,27.59728829,24,11.75,22.99375724,1
1258_right.jpg,27.52862017,23.625,12.375,22.92346764,1
1262_left.jpg,26.48356808,13.5,22.75,21.89365083,1
1262_right.jpg,27.21715377,15.375,19.75,22.6119906,0
1265_left.jpg,27.31832879,22.375,12.375,22.71323066,1
1265_right.jpg,26.78126756,23,12.4375,22.99787587,0
1269_left.jpg,26.85081912,22.5,11.9375,22.24566444,1
1271_left.jpg,27.62544916,20.75,13.5,23.02082305,1
